FIRST,FOLLOW,Nonterminal,function,id,(,),{,},",",;,alert,input,return,=,-=,if,let,switch,number,boolean,string,&&,<,+,c,case,:,default,break,$
"{'',if,let,id,alert,input,return,switch,function}",{$},O,2. F O,1. C O,,,,,,,1. C O,1. C O,1. C O,,,1. C O,1. C O,1. C O,,,,,,,,,,,,3. ''
{function},"{$,if,let,id,alert,input,return,switch,function}",F,4. function B id ( E ) { D },,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'',number,boolean,string}",{id},B,,6. '',,,,,,,,,,,,,,,5. T,5. T,5. T,,,,,,,,,
"{'',number,boolean,string}",{)},E,,,,8. '',,,,,,,,,,,,,7. T id EE,7. T id EE,7. T id EE,,,,,,,,,
"{,,''}",{)},EE,,,,10. '',,,"9. , T id EE",,,,,,,,,,,,,,,,,,,,,
"{'',if,let,id,alert,input,return,switch}",{}},D,,11. C D,,,,12. '',,,11. C D,11. C D,11. C D,,,11. C D,11. C D,11. C D,,,,,,,,,,,,
"{id,alert,input,return}","{$,if,let,id,alert,input,return,switch,function,},break,case,default}",S,,13. id SS ;,,,,,,,14. alert ( U ) ;,15. input ( id ) ;,16. return R ;,,,,,,,,,,,,,,,,,
"{(,=,-=,''}",{;},SS,,,17. ( A ),,,,,20. '',,,,18. = U,19. -= U,,,,,,,,,,,,,,,
"{if,let,id,alert,input,return,switch}","{$,if,let,id,alert,input,return,switch,function,},break,case,default}",C,,23. S,,,,,,,23. S,23. S,23. S,,,21. if ( U ) S,22. let T S,24. switch ( id ) { Z },,,,,,,,,,,,
"{number,boolean,string}","{id,alert,input,return}",T,,,,,,,,,,,,,,,,,25. number,26. boolean,27. string,,,,,,,,,
"{(,id,c}","{),;,,}",U,,28. V UU,28. V UU,,,,,,,,,,,,,,,,,,,,28. V UU,,,,,
"{&&,''}","{),;,,}",UU,,,,30. '',,,30. '',30. '',,,,,,,,,,,,29. && V UU,,,,,,,,
"{(,id,c}","{&&,),;,,}",V,,31. W VV,31. W VV,,,,,,,,,,,,,,,,,,,,31. W VV,,,,,
"{<,''}","{&&,),;,,}",VV,,,,33. '',,,33. '',33. '',,,,,,,,,,,,33. '',32. < W VV,,,,,,,
"{(,id,c}","{<,&&,),;,,}",W,,34. Y WW,34. Y WW,,,,,,,,,,,,,,,,,,,,34. Y WW,,,,,
"{+,''}","{<,&&,),;,,}",WW,,,,36. '',,,36. '',36. '',,,,,,,,,,,,36. '',36. '',35. + Y WW,,,,,,
"{(,id,c}","{+,<,&&,),;,,}",Y,,38. id I,37. ( U ),,,,,,,,,,,,,,,,,,,,39. c,,,,,
"{(,''}","{+,<,&&,),;,,}",I,,,40. ( A ),41. '',,,41. '',41. '',,,,,,,,,,,,41. '',41. '',41. '',,,,,,
"{case,default,''}",{}},Z,,,,,,44. '',,,,,,,,,,,,,,,,,,42. case c : M Z,,43. default : M,,
"{if,let,id,alert,input,return,switch,break,''}","{case,default,}}",M,,45. C M,,,,47. '',,,45. C M,45. C M,45. C M,,,45. C M,45. C M,45. C M,,,,,,,,47. '',,47. '',46. break ;,
"{'',(,id,c}",{)},A,,48. U AA,48. U AA,49. '',,,,,,,,,,,,,,,,,,,48. U AA,,,,,
"{,,''}",{)},AA,,,,51. '',,,"50. , U AA",,,,,,,,,,,,,,,,,,,,,
"{'',(,id,c}",{;},R,,52. U,52. U,,,,,53. '',,,,,,,,,,,,,,,52. U,,,,,
